Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
EAST,ENERGY,41.00,13.2,54,+1.2,+10.7%,4.0x,12,🧲 HEAVY,🟢 EARLY,0.62,0.47,0.65,0.50,🟡🟢BULL_CONF,🥇 ↑ 🧠 ULTRA EARLY,📈 BULLISH,92.4%,25.00,PROBE,📆 Position (wks),40.80,39.56,43.87,161,⌛ Building,2.5x,🔥 ELITE,⚠️ HIGH,→,1.49,1.2%,2.1,Accumulation phase | ADX weak (13) | RSI healthy zone | 🔒 Rank capped (ADX<16),✅ OK
SKPC,INDUSTRIAL,16.65,26.3,56,+0.2,-10.2%,0.8x,8,🧲 BUILDING,🟢 EARLY,0.52,0.51,0.50,0.39,🔴🧿🔵BASE,🥈 ↑ 🔥 BUY,📈 BULLISH,89.7%,23.64,PROBE,📅 Swing (3-10d),16.57,15.90,17.82,298,⌛ Building,1.9x,🔥 ELITE,🟡 MED,→,0.47,1.2%,-0.3,RSI healthy zone | Vol base building | Below EMA200,✅ OK
SAUD,BANKS,18.96,37.5,64,+4.2,+30.5%,0.4x,15,▫️ LIGHT,🟡 MID,0.24,0.29,0.20,0.39,🔵🟢BULL_CONF,🥉 → 🛡️ BLOCKED,📈 BULLISH,92.7%,25.14,WAIT 🛡️,⚡ Intraday,18.87,18.11,20.29,263,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,0.68,4.0%,-1.0,Expansion phase | ADX strong (37) | ✅ Bull vol confirmed,"ATR cap: +180 EGP would bring total to 420 EGP (4.2% of account, max 4%)"
ISPH,ENERGY,11.79,19.0,49,-2.8,+13.8%,0.1x,9,▫️ LIGHT,🟡 MID,0.86,0.44,0.85,0.78,🟡🧿👑🔀BEAR_DIV,#4 → 🛡️ BLOCKED,📈 BULLISH,92.3%,24.93,WAIT 🛡️,📆 Position (wks),11.73,11.38,12.62,571,⌛ Building,2.5x,🔥 ELITE,⚠️ HIGH,→,0.53,-4.1%,-1.1,Accumulation phase | RSI healthy zone | Bear vol divergence,"ATR cap: +303 EGP would bring total to 543 EGP (5.4% of account, max 4%)"
HELI,REAL_ESTATE,4.82,45.8,76,+14.7,-14.9%,0.9x,6,▫️ LIGHT,🟡 MID,0.52,0.25,0.50,0.22,🔵🟢BULL_CONF,#5 → 👀 WATCH ⚠️OB,⏸️ NEUTRAL,91.9%,24.74,PROBE,⚡ Intraday,4.80,4.68,5.16,1666,⌛ Building,3.0x,🔥 ELITE,⚠️ HIGH,→,0.22,12.2%,-0.2,Expansion phase | ADX strong (46) | ⚠️ RSI Overbought (76),✅ OK
FAIT,BANKS,34.00,18.9,56,-1.2,+7.1%,0.4x,11,▫️ LIGHT,🟡 MID,0.67,0.22,0.65,0.56,🟡🧿🔵BASE,#6 → 🛡️ BLOCKED,📈 BULLISH,84.9%,21.91,WAIT 🛡️,📆 Position (wks),33.83,32.81,36.38,196,⌛ Building,2.5x,🔥 ELITE,⚠️ HIGH,→,1.15,0.4%,-0.6,Accumulation phase | RSI healthy zone | Vol base building,"ATR cap: +225 EGP would bring total to 604 EGP (6.0% of account, max 4%)"
ETEL,SERVICES,92.79,52.0,56,-6.1,+50.0%,1.2x,7,🧲 BUILDING,🟡 MID,0.57,0.41,0.55,0.39,🔴🧿🟢BULL_CONF,#7 → 🛡️ BLOCKED,📈 BULLISH,74.7%,19.33,WAIT 🛡️,⚡ Intraday,92.33,88.61,99.29,53,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,5.58,0.1%,0.4,ADX strong (52) | RSI healthy zone | ✅ Bull vol confirmed,"ATR cap: +296 EGP would bring total to 675 EGP (6.7% of account, max 4%)"
FWRY,SERVICES,18.45,40.4,49,-11.9,+26.1%,1.0x,7,🧲 BUILDING,🟡 MID,0.57,0.40,0.40,0.39,🔴🧿🔵BASE,#8 → 🛡️ BLOCKED,📈 BULLISH,71.5%,18.68,WAIT 🛡️,⚡ Intraday,18.36,17.62,19.74,270,⌛ Building,1.9x,🔥 ELITE,🟡 MED,→,0.80,-4.0%,-0.1,ADX strong (40) | RSI healthy zone | Vol base building,"ATR cap: +216 EGP would bring total to 595 EGP (5.9% of account, max 4%)"
SWDY,ENERGY,77.49,18.7,45,-2.8,+0.8%,0.7x,4,▫️ LIGHT,🔴 LATE,0.48,0.49,0.45,0.56,🔴🔵BASE,#9 → 👀 WATCH,⏸️ NEUTRAL,68.3%,18.07,PROBE,📆 Position (wks),77.10,74.78,82.91,86,⌛ Building,2.5x,🔥 ELITE,⚠️ HIGH,→,3.21,-3.5%,-0.3,Vol base building | Weak momentum,✅ OK
ABUK,ENERGY,69.70,28.4,64,+0.9,+33.8%,1.2x,11,▫️ LIGHT,🟡 MID,0.33,0.18,0.35,0.33,🔴🧿🔀BEAR_DIV,#10 → 🛡️ BLOCKED,📈 BULLISH,67.8%,17.98,WAIT 🛡️,📅 Swing (3-10d),69.35,66.56,74.58,71,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,2.91,1.9%,0.4,Bear vol divergence | Extended above EMA200,"ATR cap: +207 EGP would bring total to 586 EGP (5.9% of account, max 4%)"
