Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
ABUK,ENERGY,77.89,25.9,74,+4.2,+47.9%,2.8x,9,🧲 BUILDING,🔴 LATE,0.43,0.36,0.40,0.72,🔵🟢BULL_CONF 🐳 Whale  ⚡,🥇 → 👀 WATCH ⚠️OB,⏸️ NEUTRAL,94.0%,26.01,PROBE,📅 Swing (3-10d),77.50,75.55,84.90,256,⌛ Building,3.8x,🔥 ELITE,⚠️ HIGH,→,4.12,10.1%,3.0,Expansion phase | ⚠️ RSI Overbought (74) | ✅ Bull vol confirmed | 🛡️ DataGuard DEGRADED (57) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
MFPC,ENERGY,38.50,40.4,68,+2.5,+19.1%,2.5x,17,🧲 BUILDING,🔴 LATE,0.24,0.35,0.20,0.61,🔵🟢BULL_CONF 🐳 Whale,🥈 → 👁️ WATCH (data quality),📈 BULLISH,93.9%,25.92,PROBE,⚡ Intraday,38.31,36.77,41.97,324,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,1.77,6.7%,1.6,Expansion phase | ADX strong (40) | ✅ Bull vol confirmed | 🛡️ DataGuard DEGRADED (56) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
SKPC,INDUSTRIAL,17.11,25.2,61,-1.5,-7.6%,2.3x,8,🧲 BUILDING,🔴 LATE,0.33,0.60,0.30,0.61,🔴🔔🟢BULL_CONF 🐳 Whale,🥉 → 👁️ WATCH (data quality),📈 BULLISH,86.0%,22.25,PROBE,📅 Swing (3-10d),17.02,16.34,18.65,735,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,0.63,3.0%,1.9,RSI healthy zone | Bullish EMA cross | ✅ Bull vol confirmed | 🛡️ DataGuard DEGRADED (57) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
AMOC,INDUSTRIAL,7.39,22.3,60,-1.1,+6.6%,1.7x,10,🧲 BUILDING,🟡 MID,0.71,0.21,0.70,1.00,🔴🧿🔀BEAR_DIV  🎯 Hunter,#4 → 👁️ WATCH (data quality),📈 BULLISH,76.9%,19.82,PROBE,📆 Position (wks),7.35,7.17,8.06,2777,⌛ Building,3.9x,🔥 ELITE,⚠️ HIGH,→,0.24,2.3%,0.7,RSI healthy zone | Bear vol divergence | 🛡️ DataGuard DEGRADED (55) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
HELI,REAL_ESTATE,5.14,46.2,80,+16.5,-9.1%,0.7x,6,▫️ LIGHT,🟡 MID,0.10,0.16,0.10,0.00,🔵🔀BEAR_DIV,#5 → 👀 WATCH ⚠️OB,⏸️ NEUTRAL,64.0%,17.30,PROBE,⚡ Intraday,5.11,4.91,5.60,2499,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,0.27,14.9%,-0.6,Expansion phase | ADX strong (46) | ⚠️ RSI Overbought (80) | 🛡️ DataGuard DEGRADED (55),✅ OK
FAIT,BANKS,34.83,18.4,59,-3.0,+9.5%,0.5x,11,▫️ LIGHT,🟡 MID,0.67,0.33,0.65,0.56,🟡🧿🔀BEAR_DIV,#6 → 👁️ WATCH (data quality),📈 BULLISH,63.8%,17.26,PROBE,📆 Position (wks),34.66,33.61,37.96,476,⌛ Building,3.1x,🔥 ELITE,⚠️ HIGH,→,1.41,2.3%,-0.6,Accumulation phase | RSI healthy zone | Bear vol divergence | 🛡️ DataGuard DEGRADED (54) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
EAST,ENERGY,39.29,13.2,46,-0.4,+5.9%,0.3x,4,▫️ LIGHT,🔴 LATE,0.24,0.10,0.45,0.28,🔴🔵BASE,#7 → 👀 WATCH,⏸️ NEUTRAL,53.0%,15.47,WAIT,📆 Position (wks),39.09,37.91,42.83,423,—,3.2x,🔥 ELITE,⚠️ HIGH,→,1.60,-4.0%,-0.6,ADX weak (13) | Vol base building | 🛡️ DataGuard DEGRADED (55) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
FWRY,SERVICES,17.34,34.2,40,-8.1,+17.8%,0.9x,5,▫️ LIGHT,🔴 LATE,0.29,0.14,0.30,0.33,🔴🔵BASE,#8 → 👀 WATCH,⏸️ NEUTRAL,36.7%,12.82,WATCH_ONLY,📅 Swing (3-10d),17.25,16.56,18.90,724,⌛ Building,2.4x,💎 STRONG,⚠️ HIGH,→,0.86,-10.5%,-0.2,ADX strong (34) | Vol base building | Weak momentum | 🛡️ DataGuard DEGRADED (56) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
CIEB,BANKS,21.91,35.7,36,-6.6,+3.5%,1.0x,5,▫️ LIGHT,🔴 LATE,0.24,0.10,0.10,0.33,🔴🔵BASE,#9 → 👀 WATCH,⏸️ NEUTRAL,34.8%,12.49,WATCH_ONLY,⚡ Intraday,21.80,20.92,23.88,568,⌛ Building,2.4x,💎 STRONG,⚠️ HIGH,→,0.96,-7.3%,-0.0,ADX strong (36) | Vol base building | Weak momentum | 🛡️ DataGuard DEGRADED (57) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
SAUD,BANKS,18.19,31.2,53,-2.4,+24.2%,0.4x,7,▫️ LIGHT,🟡 MID,0.19,0.14,0.20,0.11,🔴🔵BASE,#10 → 👁️ WATCH (data quality),📈 BULLISH,32.7%,12.12,WATCH_ONLY,📅 Swing (3-10d),18.10,17.37,19.83,684,⌛ Building,2.4x,💎 STRONG,⚠️ HIGH,→,0.72,-1.0%,-0.9,ADX strong (31) | RSI healthy zone | Vol base building | 🛡️ DataGuard DEGRADED (53) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
