Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
MFPC,ENERGY,40.53,42.1,72,+8.1,+25.0%,2.9x,11,🧲 BUILDING,🔴 LATE,0.19,0.31,0.20,0.44,🔵🟢BULL_CONF   ⚡,🥇 → 👀 WATCH ⚠️OB,⏸️ NEUTRAL,95.3%,27.07,PROBE,⚡ Intraday,40.33,38.71,44.18,308,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,1.98,9.5%,2.1,Expansion phase | ADX strong (42) | ⚠️ RSI Overbought (72) | 🛡️ DataGuard DEGRADED (56) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
ABUK,ENERGY,78.64,27.0,75,+8.9,+48.5%,2.6x,9,▫️ LIGHT,🔴 LATE,0.19,0.32,0.20,0.44,🔵🟢BULL_CONF   ⚡,🥈 → 👀 WATCH ⚠️OB,⏸️ NEUTRAL,93.5%,25.64,PROBE,📅 Swing (3-10d),78.25,75.10,85.72,158,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,4.05,9.2%,2.4,Expansion phase | ⚠️ RSI Overbought (75) | ✅ Bull vol confirmed | 🛡️ DataGuard DEGRADED (57),✅ OK
HELI,REAL_ESTATE,5.15,46.1,80,+13.8,-8.9%,0.6x,6,▫️ LIGHT,🟡 MID,0.10,0.21,0.10,0.00,🔵🔀BEAR_DIV,🥉 → 👀 WATCH ⚠️OB,⏸️ NEUTRAL,65.8%,17.62,PROBE,⚡ Intraday,5.12,4.92,5.61,2499,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,0.28,14.2%,-0.7,Expansion phase | ADX strong (46) | ⚠️ RSI Overbought (80) | 🛡️ DataGuard DEGRADED (55),✅ OK
FAIT,BANKS,34.19,17.2,55,-0.9,+7.4%,0.2x,9,▫️ LIGHT,🟡 MID,0.62,0.10,0.65,0.50,🟡🧿👑🔀BEAR_DIV,#4 → 👁️ WATCH (data quality),📈 BULLISH,64.6%,17.40,PROBE,📆 Position (wks),34.02,32.99,37.27,485,⌛ Building,3.2x,🔥 ELITE,⚠️ HIGH,→,1.47,0.3%,-0.8,Accumulation phase | ADX weak (17) | RSI healthy zone | 🛡️ DataGuard DEGRADED (54) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
FWRY,SERVICES,17.69,33.2,44,-7.2,+20.0%,1.1x,5,▫️ LIGHT,🔴 LATE,0.57,0.37,0.55,0.83,🔴🔵BASE,#5 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,16.57,WAIT,📆 Position (wks),17.69,17.69,17.69,1,—,0.0x,—,⚠️ HIGH,→,0.90,-8.1%,0.1, | 📊 Rank too low: 16.6 < 16.8,✅ OK
SWDY,ENERGY,78.00,25.1,48,-2.1,+1.3%,0.4x,6,▫️ LIGHT,🟡 MID,0.71,0.26,0.70,0.61,🔴🧿👑🔕🔀BEAR_DIV,#6 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.74,WAIT,📆 Position (wks),78.00,78.00,78.00,1,—,0.0x,—,⚠️ HIGH,→,3.52,-2.2%,-0.6, | 📊 Rank too low: 14.7 < 16.8,✅ OK
SAUD,BANKS,18.18,30.5,53,-5.1,+23.8%,0.9x,7,▫️ LIGHT,🟡 MID,0.33,0.17,0.20,0.33,🔴🔵BASE,#7 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.69,WAIT,📆 Position (wks),18.18,18.18,18.18,1,—,0.0x,—,⚠️ HIGH,→,0.72,-1.1%,-0.1, | 📊 Rank too low: 13.7 < 16.8,✅ OK
EAST,ENERGY,37.85,14.2,40,-3.2,+2.0%,0.9x,3,▫️ LIGHT,🔴 LATE,0.00,0.10,0.25,0.28,🔴🔵BASE,#8 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,13.25,WAIT,📆 Position (wks),37.85,37.85,37.85,1,—,0.0x,—,⚠️ HIGH,→,1.64,-7.6%,-0.1, | 📊 Rank too low: 13.3 < 16.8,✅ OK
ETEL,SERVICES,88.00,42.4,50,-6.4,+45.2%,0.8x,5,🧲 BUILDING,🟡 MID,0.43,0.32,0.40,0.39,🔴🧿🔵BASE,#9 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.93,WAIT,📆 Position (wks),88.00,88.00,88.00,1,—,0.0x,—,⚠️ HIGH,→,5.91,-6.7%,-0.4, | 📊 Rank too low: 12.9 < 16.8,✅ OK
JUFO,SERVICES,26.50,28.0,40,-1.8,-2.9%,1.5x,4,▫️ LIGHT,🔴 LATE,0.29,0.10,0.30,0.56,🔴🔕🔵BASE  🎯 Hunter,#10 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.31,WAIT,📆 Position (wks),26.50,26.50,26.50,1,—,0.0x,—,🟡 MED,→,1.06,-8.1%,0.9, | 📊 Rank too low: 12.3 < 16.8,✅ OK
TMGH,REAL_ESTATE,79.00,33.5,36,-15.8,+12.7%,2.9x,7,▫️ LIGHT,🔴 LATE,0.33,0.28,0.30,0.61,🔴⚠️CLIMAX_SELL 🐳 Whale,#11 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.13,WAIT,📆 Position (wks),79.00,79.00,79.00,1,—,0.0x,—,⚠️ HIGH,→,4.12,-10.8%,3.2, | 📊 Rank too low: 12.1 < 16.8,✅ OK
ISPH,ENERGY,11.20,19.6,43,-3.1,+7.7%,1.1x,4,▫️ LIGHT,🔴 LATE,0.38,0.10,0.40,0.50,🔴⚠️CLIMAX_SELL,#12 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.73,WAIT,📆 Position (wks),11.20,11.20,11.20,1,—,0.0x,—,🟡 MED,→,0.54,-9.6%,0.1, | 📊 Rank too low: 11.7 < 16.8,✅ OK
COMI,BANKS,121.50,30.5,36,-10.5,+13.4%,1.3x,6,▫️ LIGHT,🔴 LATE,0.33,0.20,0.45,0.61,🔴⚠️CLIMAX_SELL,#13 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.40,WAIT,📆 Position (wks),121.50,121.50,121.50,1,—,0.0x,—,⚠️ HIGH,→,5.25,-10.2%,0.6, | 📊 Rank too low: 11.4 < 16.8,✅ OK
PHDC,REAL_ESTATE,8.67,28.1,42,-5.8,+7.3%,0.8x,5,▫️ LIGHT,🔴 LATE,0.10,0.22,0.10,0.11,🔴⚠️CLIMAX_SELL,#14 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.87,WAIT,📆 Position (wks),8.67,8.67,8.67,1,—,0.0x,—,⚠️ HIGH,→,0.43,-6.6%,-0.2, | 📊 Rank too low: 10.9 < 16.8,✅ OK
HRHO,SERVICES,25.78,29.6,33,-9.0,-3.2%,0.7x,2,▫️ LIGHT,🔴 LATE,0.00,0.10,0.30,0.33,🔴🔕🔵BASE,#15 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.87,WAIT,📆 Position (wks),25.78,25.78,25.78,1,—,0.0x,—,⚠️ HIGH,→,1.16,-13.9%,-0.5, | 📊 Rank too low: 10.9 < 16.8,✅ OK
CIEB,BANKS,21.51,36.2,33,-8.6,+1.6%,0.6x,5,▫️ LIGHT,🔴 LATE,0.10,0.10,0.10,0.11,🔴⚠️CLIMAX_SELL,#16 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.54,WAIT,📆 Position (wks),21.51,21.51,21.51,1,—,0.0x,—,⚠️ HIGH,→,1.00,-8.8%,-0.6, | 📊 Rank too low: 10.5 < 16.8,✅ OK
OCDI,REAL_ESTATE,17.99,23.2,45,-6.7,-36.5%,0.2x,1,▫️ LIGHT,🔴 LATE,0.00,0.28,0.50,0.56,🔴🔕🔵BASE,#17 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.29,WAIT,📆 Position (wks),17.99,17.99,17.99,1,—,0.0x,—,⚠️ HIGH,→,0.96,-7.3%,-1.0, | 📊 Rank too low: 10.3 < 16.8,✅ OK
ADIB,BANKS,37.81,32.6,46,-7.9,+20.7%,1.5x,8,▫️ LIGHT,🔴 LATE,0.00,0.10,0.20,0.33,🔴⚠️CLIMAX_SELL,#18 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.55,WAIT,📆 Position (wks),37.81,37.81,37.81,1,—,0.0x,—,⚠️ HIGH,→,2.41,-6.5%,1.3, | 📊 Rank too low: 9.6 < 16.8,✅ OK
ORWE,SERVICES,22.01,27.1,41,-3.6,-3.2%,0.9x,2,▫️ LIGHT,🔴 LATE,0.00,0.10,0.10,0.11,🔴🔕🔵BASE,#19 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.75,WAIT,📆 Position (wks),22.01,22.01,22.01,1,—,0.0x,—,⚠️ HIGH,→,0.71,-6.1%,-0.1, | 📊 Rank too low: 8.8 < 16.8,✅ OK
EGTS,SERVICES,7.14,33.3,30,-7.9,-8.6%,0.2x,2,▫️ LIGHT,🔴 LATE,0.00,0.10,0.10,0.11,🔴🔵BASE,#20 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.04,WAIT,📆 Position (wks),7.14,7.14,7.14,1,—,0.0x,—,🟡 MED,→,0.22,-7.7%,-0.6, | 📊 Rank too low: 8.0 < 16.8,✅ OK
CNFN,BANKS,3.95,38.4,31,-15.4,-16.2%,0.9x,2,▫️ LIGHT,🔴 LATE,0.00,0.11,0.10,0.11,🔴⚠️CLIMAX_SELL,#21 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,6.51,WAIT,📆 Position (wks),3.95,3.95,3.95,1,—,0.0x,—,🟡 MED,→,0.17,-11.9%,-0.2, | 📊 Rank too low: 6.5 < 16.8,✅ OK
AMOC,INDUSTRIAL,7.53,22.8,64,+1.1,+8.6%,2.4x,12,▫️ LIGHT,🟡 MID,0.29,0.21,0.30,0.72,🔴🔀BEAR_DIV  🎯 Hunter,#22 → ⛔ WAIT (Sector),⏸️ NEUTRAL,0.0%,0.00,WAIT,📆 Position (wks),7.53,7.53,7.53,1,—,0.0x,—,⚠️ HIGH,→,0.26,3.6%,1.3," | ⛔ Sector blacklisted: INDUSTRIAL (BT: WR<10%, PnL<-25%)",✅ OK
KZPC,INDUSTRIAL,9.95,21.1,49,-0.6,-3.7%,1.7x,5,▫️ LIGHT,🟡 MID,0.62,0.20,0.65,0.72,🔴🟢BULL_CONF  🎯 Hunter,#23 → ⛔ WAIT (Sector),⏸️ NEUTRAL,0.0%,0.00,WAIT,📆 Position (wks),9.95,9.95,9.95,1,—,0.0x,—,⚠️ HIGH,→,0.38,-1.7%,1.0," | ⛔ Sector blacklisted: INDUSTRIAL (BT: WR<10%, PnL<-25%)",✅ OK
SKPC,INDUSTRIAL,17.53,24.3,66,+0.8,-5.2%,2.6x,9,▫️ LIGHT,🟡 MID,0.29,0.30,0.30,0.72,🔴🔔🟢BULL_CONF,#24 → ⛔ WAIT (Sector),⏸️ NEUTRAL,0.0%,0.00,WAIT,📆 Position (wks),17.53,17.53,17.53,1,—,0.0x,—,⚠️ HIGH,→,0.70,4.6%,2.3," | ⛔ Sector blacklisted: INDUSTRIAL (BT: WR<10%, PnL<-25%)",✅ OK
