Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
MFPC,ENERGY,43.56,45.8,75,+20.4,+33.6%,2.2x,13,▫️ LIGHT,🔴 LATE,0.19,0.32,0.20,0.44,🔵💥🟢BULL_CONF   ⚡,🥇 → ⏳ WAIT (LATE Zone),⏸️ NEUTRAL,0.0%,29.55,WAIT,📆 Position (wks),43.56,43.56,43.56,1,—,0.0x,—,⚠️ HIGH,→,2.21,13.2%,1.4, | ⏳ In LATE zone,✅ OK
FAIT,BANKS,34.19,15.2,54,+1.9,+7.2%,0.9x,10,▫️ LIGHT,🟢 EARLY,0.76,0.20,0.65,0.72,🟡🧿👑🔀BEAR_DIV,🥈 → ⏳ WAIT (ADX),⏸️ NEUTRAL,92.4%,25.00,WAIT,📆 Position (wks),34.02,32.99,37.27,97,—,3.2x,🔥 ELITE,⚠️ HIGH,→,1.36,0.1%,-0.1,Accumulation phase | ADX weak (15) | RSI healthy zone | 🔒 Rank capped (ADX<16) | 🛡️ DataGuard DEGRADED (60) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
ABUK,ENERGY,87.00,29.8,81,+21.2,+50.0%,2.3x,11,▫️ LIGHT,🔴 LATE,0.19,0.33,0.20,0.44,🔵💥🟢BULL_CONF   ⚡,🥉 → ⏳ WAIT (LATE Zone),⏸️ NEUTRAL,0.0%,21.13,WAIT,📆 Position (wks),87.00,87.00,87.00,1,—,0.0x,—,⚠️ HIGH,→,4.90,15.3%,1.8, | ⏳ In LATE zone,✅ OK
ORWE,SERVICES,23.00,26.8,54,-0.1,+1.1%,0.8x,8,🧲 BUILDING,🟡 MID,0.71,0.53,0.70,0.61,🔴🧿👑🔕🟢BULL_CONF,#4 → 👁️ WATCH (data quality),📈 BULLISH,81.2%,20.86,PROBE,📅 Swing (3-10d),22.89,22.31,25.07,172,25%,3.8x,🔥 ELITE,⚠️ HIGH,→,0.71,-1.3%,-0.2,RSI healthy zone | Bearish EMA cross | ✅ Bull vol confirmed | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
PHDC,REAL_ESTATE,8.75,24.6,46,-1.0,+8.1%,1.3x,5,▫️ LIGHT,🔴 LATE,0.43,0.37,0.65,0.72,🔴⚠️CLIMAX_SELL  🎯 Hunter,#5 → ⏳ WAIT (LATE Zone),⏸️ NEUTRAL,0.0%,20.62,WAIT,📆 Position (wks),8.75,8.75,8.75,1,—,0.0x,—,⚠️ HIGH,→,0.44,-5.6%,0.3, | ⏳ In LATE zone,✅ OK
SWDY,ENERGY,79.20,25.5,52,+1.9,+2.8%,0.5x,10,🧲 BUILDING,🟢 EARLY,0.71,0.41,0.70,0.61,🔵🧿👑🔕🔀BEAR_DIV,#6 → 👁️ WATCH (data quality),📈 BULLISH,68.6%,18.13,PROBE,📅 Swing (3-10d),78.80,76.82,86.33,50,25%,3.8x,🔥 ELITE,⚠️ HIGH,→,3.61,-0.6%,-0.5,Expansion phase | RSI healthy zone | Bearish EMA cross | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
JUFO,SERVICES,26.50,28.8,41,-0.5,-2.9%,2.6x,6,▫️ LIGHT,🔴 LATE,0.29,0.33,0.30,0.56,🔴🔕⚠️CLIMAX_SELL  🎯 Hunter,#7 → ⏳ WAIT (LATE Zone),⏸️ NEUTRAL,0.0%,17.63,WAIT,📆 Position (wks),26.50,26.50,26.50,1,—,0.0x,—,🟡 MED,→,1.00,-5.9%,2.5, | ⏳ In LATE zone,✅ OK
FWRY,SERVICES,17.48,30.1,43,-2.3,+18.0%,0.8x,5,▫️ LIGHT,🔴 LATE,0.29,0.34,0.30,0.33,🔴⚠️CLIMAX_SELL,#8 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,16.27,WAIT,📆 Position (wks),17.48,17.48,17.48,1,—,0.0x,—,⚠️ HIGH,→,0.85,-8.6%,-0.5, | 📊 Rank too low: 16.3 < 16.8,✅ OK
ISPH,ENERGY,10.82,20.7,38,-3.5,+4.0%,2.4x,6,▫️ LIGHT,🔴 LATE,0.43,0.34,0.45,0.72,🔴🔕⚠️CLIMAX_SELL,#9 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.82,WAIT,📆 Position (wks),10.82,10.82,10.82,1,—,0.0x,—,🟡 MED,→,0.53,-10.0%,2.4, | 📊 Rank too low: 14.8 < 16.8,✅ OK
OCDI,REAL_ESTATE,18.30,20.6,48,-1.0,-34.8%,0.3x,3,▫️ LIGHT,🟡 MID,0.00,0.29,0.65,0.50,🔴🧿🔕🟢BULL_CONF,#10 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.81,WAIT,📆 Position (wks),18.30,18.30,18.30,1,—,0.0x,—,⚠️ HIGH,→,0.99,-6.3%,-0.8, | 📊 Rank too low: 14.8 < 16.8,✅ OK
HELI,REAL_ESTATE,5.20,45.5,78,+10.1,-7.7%,0.5x,6,▫️ LIGHT,🟡 MID,0.10,0.24,0.10,0.00,🔵🔀BEAR_DIV,#11 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.05,WAIT,📆 Position (wks),5.20,5.20,5.20,1,—,0.0x,—,⚠️ HIGH,→,0.27,13.4%,-0.9, | 📊 Rank too low: 14.1 < 16.8,✅ OK
