Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
MFPC,ENERGY,39.65,43.6,68,+13.6,+22.0%,1.1x,15,▫️ LIGHT,🟡 MID,0.33,0.21,0.35,0.56,🔵🟢BULL_CONF,🥇 → 👁️ WATCH (data quality),📈 BULLISH,93.7%,25.77,PROBE,⚡ Intraday,39.45,37.87,43.22,63,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,1.96,6.8%,0.1,Expansion phase | ADX strong (44) | ✅ Bull vol confirmed | 🛡️ DataGuard DEGRADED (56),✅ OK
FAIT,BANKS,34.66,16.2,57,+0.8,+8.7%,0.2x,12,🧲 BUILDING,🟢 EARLY,0.86,0.24,0.85,0.50,🟡🧿👑🔀BEAR_DIV,🥈 → 👁️ WATCH (data quality),📈 BULLISH,89.0%,23.37,PROBE,📆 Position (wks),34.49,33.45,37.78,96,⌛ Building,3.2x,🔥 ELITE,⚠️ HIGH,→,1.35,1.6%,-0.8,Accumulation phase | ADX weak (16) | RSI healthy zone | 🛡️ DataGuard DEGRADED (54) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
ABUK,ENERGY,77.93,27.9,73,+14.8,+46.4%,0.6x,7,▫️ LIGHT,🟡 MID,0.19,0.17,0.20,0.22,🔵🟢BULL_CONF,🥉 → 👀 WATCH ⚠️OB,⏸️ NEUTRAL,75.7%,19.54,PROBE,📅 Swing (3-10d),77.54,74.42,84.94,32,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,4.11,7.8%,-0.6,Expansion phase | ⚠️ RSI Overbought (73) | ✅ Bull vol confirmed | 🛡️ DataGuard DEGRADED (57),✅ OK
PHDC,REAL_ESTATE,9.24,26.2,56,-2.5,+14.2%,1.8x,11,🧲 BUILDING,🟡 MID,0.71,0.34,0.70,0.83,🔴🧿👑🟢BULL_CONF  🎯 Hunter,#4 → 👁️ WATCH (data quality),📈 BULLISH,72.8%,18.94,PROBE,📅 Swing (3-10d),9.19,8.96,10.07,434,⌛ Building,3.8x,🔥 ELITE,⚠️ HIGH,→,0.43,-0.1%,0.9,RSI healthy zone | ✅ Bull vol confirmed | Weak momentum | 🛡️ DataGuard DEGRADED (59) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
FWRY,SERVICES,18.20,31.3,49,-4.6,+23.1%,1.3x,8,🧲 BUILDING,🟡 MID,0.76,0.39,0.75,0.83,🔴🧿👑🔀BEAR_DIV  🎯 Hunter,#5 → 👁️ WATCH (data quality),📈 BULLISH,65.0%,17.48,PROBE,📅 Swing (3-10d),18.11,17.65,19.84,217,⌛ Building,3.8x,🔥 ELITE,⚠️ HIGH,→,0.89,-4.7%,0.6,ADX strong (31) | RSI healthy zone | Bear vol divergence | 🛡️ DataGuard DEGRADED (56) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
JUFO,SERVICES,26.67,28.2,42,-0.7,-2.3%,1.9x,6,▫️ LIGHT,🔴 LATE,0.29,0.33,0.30,0.56,🔴🔕🟢BULL_CONF  🎯 Hunter,#6 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,16.62,WAIT,📆 Position (wks),26.67,26.67,26.67,1,—,0.0x,—,🟡 MED,→,1.04,-6.3%,1.6, | 📊 Rank too low: 16.6 < 16.8,✅ OK
ISPH,ENERGY,11.21,19.9,43,-3.7,+7.8%,1.0x,4,▫️ LIGHT,🔴 LATE,0.57,0.14,0.45,0.72,🔴🔕,#7 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,15.77,WAIT,📆 Position (wks),11.21,11.21,11.21,1,—,0.0x,—,🟡 MED,→,0.51,-8.2%,-0.0, | 📊 Rank too low: 15.8 < 16.8,✅ OK
HELI,REAL_ESTATE,5.07,46.0,75,+10.6,-10.1%,0.2x,6,▫️ LIGHT,🟡 MID,0.10,0.12,0.10,0.00,🔵🔀BEAR_DIV,#8 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.98,WAIT,📆 Position (wks),5.07,5.07,5.07,1,—,0.0x,—,⚠️ HIGH,→,0.27,12.5%,-1.4, | 📊 Rank too low: 15.0 < 16.8,✅ OK
EAST,ENERGY,38.35,14.9,43,-4.4,+3.3%,1.3x,4,▫️ LIGHT,🔴 LATE,0.38,0.10,0.40,0.50,🔴🔕🔵BASE,#9 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.37,WAIT,📆 Position (wks),38.35,38.35,38.35,1,—,0.0x,—,⚠️ HIGH,→,1.71,-5.7%,0.2, | 📊 Rank too low: 12.4 < 16.8,✅ OK
COMI,BANKS,126.00,31.2,44,-9.8,+17.2%,1.4x,6,▫️ LIGHT,🔴 LATE,0.52,0.29,0.65,0.56,🔴⚠️CLIMAX_SELL  🎯 Hunter,#10 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.59,WAIT,📆 Position (wks),126.00,126.00,126.00,1,—,0.0x,—,⚠️ HIGH,→,5.16,-5.5%,0.7, | 📊 Rank too low: 11.6 < 16.8,✅ OK
