Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
ABUK,ENERGY,68.80,27.0,60,+1.8,+31.7%,1.4x,15,🧲 BUILDING,🔴 LATE,0.43,0.44,0.40,0.83,🔵🧿🔵BASE  🎯 Hunter ⚡,🥇 ↑ 🚀 EARLY,📈 BULLISH,99.2%,34.29,PROBE,📅 Swing (3-10d),68.46,66.74,73.62,116,⌛ Building,3.0x,🔥 ELITE,⚠️ HIGH,→,3.21,0.3%,0.9,Expansion phase | RSI healthy zone | Vol base building,✅ OK
HELI,REAL_ESTATE,4.89,45.3,77,+17.6,-13.6%,0.9x,6,▫️ LIGHT,🟡 MID,0.67,0.37,0.50,0.50,🟡🟢BULL_CONF,🥈 → 👀 WATCH,⏸️ NEUTRAL,96.6%,28.43,PROBE,⚡ Intraday,4.87,4.74,5.23,1538,⌛ Building,2.8x,🔥 ELITE,⚠️ HIGH,→,0.25,12.6%,-0.2,Accumulation phase | ADX strong (45) | ⚠️ RSI Overbought (77),✅ OK
EAST,ENERGY,40.50,12.9,52,+1.8,+9.3%,0.7x,10,🧲 BUILDING,🟢 EARLY,0.86,0.46,0.85,0.78,🟡🧿👑🟢BULL_CONF   🧬,🥉 → ⏳ WAIT (ADX),⏸️ NEUTRAL,92.4%,25.00,WAIT,📆 Position (wks),40.30,39.08,43.34,163,—,2.5x,🔥 ELITE,⚠️ HIGH,→,1.63,-0.2%,-0.2,Accumulation phase | ADX weak (13) | RSI healthy zone | 🔒 Rank capped (ADX<16),✅ OK
SAUD,BANKS,18.72,35.0,60,+3.4,+28.5%,0.6x,15,🧲 BUILDING,🟡 MID,0.24,0.28,0.20,0.39,🔵🔵BASE,#4 → 🛡️ BLOCKED,📈 BULLISH,87.8%,22.88,WAIT 🛡️,⚡ Intraday,18.63,17.88,20.03,266,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,0.74,2.6%,-0.7,Expansion phase | ADX strong (35) | RSI healthy zone,"ATR cap: +196 EGP would bring total to 568 EGP (5.7% of account, max 4%)"
SKPC,INDUSTRIAL,16.70,26.1,57,-1.0,-9.9%,1.7x,9,🧲 BUILDING,🟡 MID,0.52,0.52,0.50,0.61,🔴🔵BASE,#5 → 🛡️ BLOCKED,📈 BULLISH,80.8%,20.74,WAIT 🛡️,📅 Swing (3-10d),16.62,15.95,17.87,298,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,0.56,1.2%,1.0,RSI healthy zone | Vol base building | Below EMA200,"ATR cap: +168 EGP would bring total to 540 EGP (5.4% of account, max 4%)"
MFPC,ENERGY,36.00,39.7,59,+0.2,+11.7%,1.1x,11,🧲 BUILDING,🟢 EARLY,0.67,0.32,0.65,0.39,🔴🧿⚠️CLIMAX_SELL,#6 → 🛡️ BLOCKED,📈 BULLISH,79.8%,20.49,WAIT 🛡️,⚡ Intraday,35.82,34.38,38.52,138,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,1.56,2.0%,0.1,ADX strong (40) | RSI healthy zone | ⚠️ Climax sell volume,"ATR cap: +216 EGP would bring total to 588 EGP (5.9% of account, max 4%)"
CIEB,BANKS,22.02,33.7,34,-1.4,+4.1%,0.3x,5,▫️ LIGHT,🔴 LATE,0.52,0.30,0.50,0.61,🟡🔕🔵BASE,#7 → 👀 WATCH,⏸️ NEUTRAL,72.8%,18.95,PROBE,📅 Swing (3-10d),21.91,21.36,23.56,363,⌛ Building,3.0x,🔥 ELITE,⚠️ HIGH,→,0.95,-7.7%,-0.9,Accumulation phase | ADX strong (34) | RSI oversold,✅ OK
ISPH,ENERGY,11.21,19.0,42,-1.9,+8.1%,1.0x,4,▫️ LIGHT,🔴 LATE,0.57,0.16,0.45,0.50,🔴🔵BASE,#8 → 👀 WATCH,⏸️ NEUTRAL,58.6%,16.39,PROBE,📆 Position (wks),11.15,10.82,11.99,606,⌛ Building,2.5x,🔥 ELITE,⚠️ HIGH,→,0.57,-9.2%,-0.0,Vol base building,✅ OK
PHDC,REAL_ESTATE,8.90,28.3,47,-5.8,+10.4%,0.5x,6,▫️ LIGHT,🔴 LATE,0.33,0.44,0.50,0.39,🔴🔵BASE,#9 → 👀 WATCH,⏸️ NEUTRAL,58.2%,16.32,WATCH_ONLY,📅 Swing (3-10d),8.86,8.50,9.52,555,⌛ Building,1.8x,🔥 ELITE,⚠️ HIGH,→,0.41,-3.8%,-0.7,Vol base building | Weak momentum,✅ OK
TMGH,REAL_ESTATE,85.24,31.9,44,-8.3,+22.2%,1.0x,6,▫️ LIGHT,🔴 LATE,0.38,0.57,0.35,0.39,🔴⚠️CLIMAX_SELL,#10 → 👀 WATCH,⏸️ NEUTRAL,51.7%,15.28,WATCH_ONLY,📅 Swing (3-10d),84.81,81.40,91.21,58,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,3.62,-5.5%,0.0,ADX strong (32) | ⚠️ Climax sell volume | Weak momentum,✅ OK
