Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
ABUK,ENERGY,67.80,25.7,57,+0.8,+29.4%,0.8x,11,🧲 BUILDING,🟢 EARLY,0.19,0.18,0.20,0.11,🔴🧿🔵BASE,🥇 ↑ 🔥 BUY,📈 BULLISH,94.5%,26.40,PROBE,📅 Swing (3-10d),67.46,64.75,72.55,184,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,3.30,-1.3%,-0.5,RSI healthy zone | Vol base building,✅ OK
SAUD,BANKS,18.51,32.7,57,+1.4,+26.7%,0.1x,11,▫️ LIGHT,🟢 EARLY,0.19,0.02,0.20,0.11,🔴🧿🔵BASE,🥈 ↑ 🔥 BUY,📈 BULLISH,74.5%,19.30,PROBE,📅 Swing (3-10d),18.42,17.68,19.81,675,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,0.73,1.1%,-1.4,ADX strong (33) | RSI healthy zone | Vol base building,✅ OK
MFPC,ENERGY,36.01,39.5,59,+0.6,+11.6%,0.7x,11,▫️ LIGHT,🟢 EARLY,0.29,0.08,0.30,0.11,🔴🧿⚠️CLIMAX_SELL,🥉 ↑ 🔥 BUY,📈 BULLISH,64.2%,17.34,PROBE,⚡ Intraday,35.83,34.39,38.53,347,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,1.59,1.7%,-0.4,ADX strong (40) | RSI healthy zone | ⚠️ Climax sell volume,✅ OK
HELI,REAL_ESTATE,5.17,45.6,81,+19.3,-8.6%,1.1x,6,▫️ LIGHT,🟡 MID,0.48,0.34,0.45,0.28,🔵🔀BEAR_DIV,#4 → 👀 WATCH ⚠️OB,⏸️ NEUTRAL,91.0%,24.23,PROBE,⚡ Intraday,5.14,4.94,5.53,2500,⌛ Building,2.0x,🔥 ELITE,⚠️ HIGH,→,0.26,16.1%,0.2,Expansion phase | ADX strong (46) | ⚠️ RSI Overbought (81),✅ OK
ISPH,ENERGY,11.58,18.9,47,-1.0,+11.6%,0.4x,5,▫️ LIGHT,🔴 LATE,0.86,0.50,0.85,0.78,🟡🔵BASE,#5 → 👀 WATCH,⏸️ NEUTRAL,80.3%,20.61,PROBE,📆 Position (wks),11.52,11.17,12.39,1428,⌛ Building,2.5x,🔥 ELITE,⚠️ HIGH,→,0.54,-5.9%,-0.7,Accumulation phase | Vol base building,✅ OK
EAST,ENERGY,39.99,12.6,49,+0.8,+7.8%,0.4x,7,▫️ LIGHT,🟢 EARLY,0.43,0.21,0.45,0.28,🔴🧿⚠️CLIMAX_SELL,#6 → ⏳ WAIT (ADX),⏸️ NEUTRAL,79.1%,20.34,WAIT,📆 Position (wks),39.79,38.59,42.79,416,—,2.5x,🔥 ELITE,⚠️ HIGH,→,1.58,-2.2%,-0.5,ADX weak (13) | RSI healthy zone | ⚠️ Climax sell volume,✅ OK
FAIT,BANKS,33.09,19.7,49,-3.2,+4.1%,0.3x,9,▫️ LIGHT,🟡 MID,0.67,0.37,0.65,0.56,🟡🧿🔵BASE,#7 → 🛡️ BLOCKED,📈 BULLISH,57.5%,16.21,WAIT 🛡️,📆 Position (wks),32.92,31.93,35.41,505,⌛ Building,2.5x,🔥 ELITE,⚠️ HIGH,→,1.26,-2.6%,-0.8,Accumulation phase | RSI healthy zone | Vol base building,"ATR cap: +637 EGP would bring total to 2288 EGP (4.6% of account, max 4%)"
CIEB,BANKS,21.55,34.7,31,-4.8,+1.9%,0.5x,5,▫️ LIGHT,🔴 LATE,0.10,0.10,0.10,0.11,🔴🔕🔵BASE,#8 → 👀 WATCH,⏸️ NEUTRAL,41.6%,13.65,WATCH_ONLY,📅 Swing (3-10d),21.44,20.58,23.06,581,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,0.97,-9.7%,-0.7,ADX strong (35) | RSI oversold | Bearish EMA cross,✅ OK
FWRY,SERVICES,17.70,35.7,43,-7.8,+20.5%,0.6x,5,▫️ LIGHT,🔴 LATE,0.19,0.26,0.20,0.33,🔴🔵BASE,#9 → 👀 WATCH,⏸️ NEUTRAL,39.8%,13.34,WATCH_ONLY,⚡ Intraday,17.61,16.90,18.94,704,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,0.84,-8.4%,-0.8,ADX strong (36) | Vol base building | Weak momentum,✅ OK
AMOC,INDUSTRIAL,7.04,23.0,45,-1.9,+1.7%,0.4x,4,▫️ LIGHT,🔴 LATE,0.10,0.20,0.30,0.28,🔴🔵BASE,#10 → 👀 WATCH,⏸️ NEUTRAL,36.4%,12.77,WATCH_ONLY,📆 Position (wks),7.00,6.72,7.53,1785,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,0.21,-2.3%,-0.5,Vol base building,✅ OK
