Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
MFPC,ENERGY,43.56,45.8,75,+20.4,+33.6%,2.2x,13,▫️ LIGHT,🔴 LATE,0.19,0.32,0.20,0.44,🔵💥🟢BULL_CONF   ⚡,🥇 → ⏳ WAIT (LATE Zone),⏸️ NEUTRAL,0.0%,30.32,WAIT,📆 Position (wks),43.34,40.24,50.20,1,—,2.2x,—,⚠️ HIGH,→,2.21,13.2%,1.4, | ⏳ In LATE zone,✅ OK
KZPC,INDUSTRIAL,10.50,19.9,60,+4.9,+1.6%,5.0x,18,🧲 HEAVY,🟢 EARLY,0.43,0.41,0.45,0.72,🔵💥🟢BULL_CONF  🎯 Hunter ⚡,🥈 → 👁️ WATCH (data quality),📈 BULLISH,97.2%,29.23,PROBE,📆 Position (wks),10.45,10.13,11.45,312,27%,3.1x,🔥 ELITE,⚠️ HIGH,→,0.41,2.4%,4.0,Expansion phase | RSI healthy zone | ✅ Bull vol confirmed | 🛡️ DataGuard DEGRADED (60),✅ OK
FAIT,BANKS,34.19,15.2,54,+1.9,+7.2%,0.9x,10,▫️ LIGHT,🟢 EARLY,0.76,0.20,0.65,0.72,🟡🧿👑🔀BEAR_DIV,🥉 → 👁️ WATCH (data quality),📈 BULLISH,95.9%,27.62,PROBE,📆 Position (wks),34.02,32.99,37.27,97,27%,3.2x,🔥 ELITE,⚠️ HIGH,→,1.36,0.1%,-0.1,Accumulation phase | ADX weak (15) | RSI healthy zone | 🛡️ DataGuard DEGRADED (60) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
ORWE,SERVICES,23.00,26.8,54,-0.1,+1.1%,0.8x,8,🧲 BUILDING,🟢 EARLY,0.71,0.53,0.70,0.61,🔴🧿👑🔕🟢BULL_CONF,#4 → 👁️ WATCH (data quality),📈 BULLISH,95.9%,27.61,PROBE,📅 Swing (3-10d),22.89,22.31,25.07,172,27%,3.8x,🔥 ELITE,⚠️ HIGH,→,0.71,-1.3%,-0.2,RSI healthy zone | Bearish EMA cross | ✅ Bull vol confirmed | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
SKPC,INDUSTRIAL,19.25,23.9,76,+7.9,+4.0%,3.2x,12,🧲 BUILDING,🟡 MID,0.52,0.51,0.50,0.89,🔵💥🔔🟢BULL_CONF 🐳 Whale  ⚡,#5 → 👀 WATCH ⚠️OB,⏸️ NEUTRAL,94.6%,26.43,PROBE,📆 Position (wks),19.15,18.67,20.98,208,27%,3.8x,🔥 ELITE,⚠️ HIGH,→,0.81,10.8%,2.8,Expansion phase | ⚠️ RSI Overbought (76) | Bullish EMA cross | 🛡️ DataGuard DEGRADED (62),✅ OK
AMOC,INDUSTRIAL,8.81,25.8,83,+13.1,+26.5%,3.5x,13,🧲 HEAVY,🔴 LATE,0.43,0.53,0.40,0.72,🔵💥🟢BULL_CONF 🐳 Whale  ⚡,#6 → ⏳ WAIT (LATE Zone),⏸️ NEUTRAL,0.0%,24.89,WAIT,📆 Position (wks),8.77,8.30,9.83,1,—,2.3x,—,⚠️ HIGH,→,0.34,14.3%,2.5, | ⏳ In LATE zone,✅ OK
ABUK,ENERGY,87.00,29.8,81,+21.2,+50.0%,2.3x,11,▫️ LIGHT,🔴 LATE,0.19,0.33,0.20,0.44,🔵💥🟢BULL_CONF   ⚡,#7 → ⏳ WAIT (LATE Zone),⏸️ NEUTRAL,0.0%,22.23,WAIT,📆 Position (wks),86.56,79.65,101.69,1,—,2.2x,—,⚠️ HIGH,→,4.90,15.3%,1.8, | ⏳ In LATE zone,✅ OK
SWDY,ENERGY,79.20,25.5,52,+1.9,+2.8%,0.5x,10,🧲 BUILDING,🟢 EARLY,0.71,0.41,0.70,0.61,🔵🧿👑🔕🔀BEAR_DIV,#8 → 👁️ WATCH (data quality),📈 BULLISH,82.6%,21.23,PROBE,📅 Swing (3-10d),78.80,76.82,86.33,50,25%,3.8x,🔥 ELITE,⚠️ HIGH,→,3.61,-0.6%,-0.5,Expansion phase | RSI healthy zone | Bearish EMA cross | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
PHDC,REAL_ESTATE,8.75,24.6,46,-1.0,+8.1%,1.3x,5,▫️ LIGHT,🟡 MID,0.43,0.37,0.65,0.72,🔴⚠️CLIMAX_SELL  🎯 Hunter,#9 → 👀 WATCH,⏸️ NEUTRAL,74.7%,19.32,PROBE,📆 Position (wks),8.71,8.36,9.54,285,25%,2.4x,🔥 ELITE,⚠️ HIGH,→,0.44,-5.6%,0.3,⚠️ Climax sell volume | 🛡️ DataGuard DEGRADED (64) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
JUFO,SERVICES,26.50,28.8,41,-0.5,-2.9%,2.6x,6,▫️ LIGHT,🟡 MID,0.29,0.33,0.30,0.56,🔴🔕⚠️CLIMAX_SELL  🎯 Hunter,#10 → 👀 WATCH,⏸️ NEUTRAL,61.8%,16.92,PROBE,📅 Swing (3-10d),26.37,25.31,28.89,94,24%,2.4x,🔥 ELITE,🟢 LOW,→,1.00,-5.9%,2.5,Bearish EMA cross | ⚠️ Climax sell volume | Below EMA200 | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
