Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
HELI,REAL_ESTATE,5.17,45.6,81,+19.3,-8.6%,1.1x,6,▫️ LIGHT,🟡 MID,0.48,0.37,0.45,0.28,🔵🔀BEAR_DIV,🥇 → 👀 WATCH ⚠️OB,⏸️ NEUTRAL,90.3%,23.92,PROBE,⚡ Intraday,5.14,4.94,5.53,500,⌛ Building,2.0x,🔥 ELITE,⚠️ HIGH,→,0.26,16.1%,0.2,Expansion phase | ADX strong (46) | ⚠️ RSI Overbought (81),✅ OK
ISPH,ENERGY,11.58,18.9,47,-1.0,+11.6%,0.4x,5,▫️ LIGHT,🔴 LATE,0.86,0.40,0.85,0.78,🟡🔵BASE,🥈 → 👀 WATCH,⏸️ NEUTRAL,81.3%,20.87,PROBE,📆 Position (wks),11.52,11.17,12.39,285,⌛ Building,2.5x,🔥 ELITE,⚠️ HIGH,→,0.54,-5.9%,-0.7,Accumulation phase | Vol base building,✅ OK
ABUK,ENERGY,67.80,25.7,57,+0.8,+29.4%,0.8x,11,🧲 BUILDING,🟢 EARLY,0.19,0.00,0.20,0.11,🔴🧿🔵BASE,🥉 → 🛡️ BLOCKED,📈 BULLISH,77.5%,19.95,WAIT 🛡️,📅 Swing (3-10d),67.46,64.75,72.55,36,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,3.30,-1.3%,-0.5,RSI healthy zone | Vol base building,Sector cap: ENERGY already has 5 signal(s) (max 2)
SAUD,BANKS,18.51,32.7,57,+1.4,+26.7%,0.1x,11,▫️ LIGHT,🟢 EARLY,0.19,0.01,0.20,0.11,🔴🧿🔵BASE,#4 → 🛡️ BLOCKED,📈 BULLISH,75.8%,19.57,WAIT 🛡️,📅 Swing (3-10d),18.42,17.68,19.81,135,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,0.73,1.1%,-1.4,ADX strong (33) | RSI healthy zone | Vol base building,Sector cap: BANKS already has 3 signal(s) (max 2)
FAIT,BANKS,33.09,19.7,49,-3.2,+4.1%,0.3x,9,▫️ LIGHT,🟡 MID,0.67,0.39,0.65,0.56,🟡🧿🔵BASE,#5 → 🛡️ BLOCKED,📈 BULLISH,75.3%,19.47,WAIT 🛡️,📆 Position (wks),32.92,31.93,35.41,101,⌛ Building,2.5x,🔥 ELITE,⚠️ HIGH,→,1.26,-2.6%,-0.8,Accumulation phase | RSI healthy zone | Vol base building,Sector cap: BANKS already has 3 signal(s) (max 2)
EAST,ENERGY,39.99,12.6,49,+0.8,+7.8%,0.4x,7,▫️ LIGHT,🟢 EARLY,0.43,0.00,0.45,0.28,🔴🧿⚠️CLIMAX_SELL,#6 → ⏳ WAIT (ADX),⏸️ NEUTRAL,60.4%,16.69,WAIT,📆 Position (wks),39.79,38.59,42.79,83,—,2.5x,🔥 ELITE,⚠️ HIGH,→,1.58,-2.2%,-0.5,ADX weak (13) | RSI healthy zone | ⚠️ Climax sell volume,✅ OK
MFPC,ENERGY,36.01,39.5,59,+0.6,+11.6%,0.7x,11,▫️ LIGHT,🟢 EARLY,0.29,0.06,0.30,0.11,🔴🧿⚠️CLIMAX_SELL,#7 → 🛡️ BLOCKED,📈 BULLISH,58.6%,16.39,WAIT 🛡️,⚡ Intraday,35.83,34.39,38.53,69,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,1.59,1.7%,-0.4,ADX strong (40) | RSI healthy zone | ⚠️ Climax sell volume,Sector cap: ENERGY already has 5 signal(s) (max 2)
PHDC,REAL_ESTATE,8.85,27.8,46,-5.1,+9.7%,0.3x,6,▫️ LIGHT,🔴 LATE,0.10,0.30,0.30,0.11,🔴⚠️CLIMAX_SELL,#8 → 👀 WATCH,⏸️ NEUTRAL,31.6%,11.92,WATCH_ONLY,📅 Swing (3-10d),8.81,8.45,9.47,277,⌛ Building,1.8x,💎 STRONG,⚠️ HIGH,→,0.42,-4.4%,-0.9,⚠️ Climax sell volume | Weak momentum,✅ OK
FWRY,SERVICES,17.70,35.7,43,-7.8,+20.5%,0.6x,5,▫️ LIGHT,🔴 LATE,0.19,0.01,0.20,0.33,🔴🔵BASE,#9 → 👀 WATCH,⏸️ NEUTRAL,25.5%,10.71,WATCH_ONLY,⚡ Intraday,17.61,16.90,18.94,140,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,0.84,-8.4%,-0.8,ADX strong (36) | Vol base building | Weak momentum,✅ OK
AMOC,INDUSTRIAL,7.04,23.0,45,-1.9,+1.7%,0.4x,4,▫️ LIGHT,🔴 LATE,0.10,0.00,0.30,0.28,🔴🔵BASE,#10 → 👀 WATCH,⏸️ NEUTRAL,23.3%,10.23,WATCH_ONLY,📆 Position (wks),7.00,6.72,7.53,357,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,0.21,-2.3%,-0.5,Vol base building,✅ OK
